Nom;Poste;Date;Vitesse_ms
Bois de Nèfles;97415516;01/01/2016;0.5
Bois de Nèfles;97415516;02/01/2016;1.2
Bois de Nèfles;97415516;03/01/2016;0.5
Bois de Nèfles;97415516;04/01/2016;0.3
Bois de Nèfles;97415516;05/01/2016;0.1
Bois de Nèfles;97415516;06/01/2016;0.2
Bois de Nèfles;97415516;07/01/2016;0.5
Bois de Nèfles;97415516;08/01/2016;0.3
Bois de Nèfles;97415516;09/01/2016;0.25
Bois de Nèfles;97415516;10/01/2016;0.2
Bois de Nèfles;97415516;11/01/2016;0.15000000000000002
Bois de Nèfles;97415516;12/01/2016;0.1
Bois de Nèfles;97415516;13/01/2016;0.1
Bois de Nèfles;97415516;14/01/2016;0.3
Bois de Nèfles;97415516;15/01/2016;0.5
Bois de Nèfles;97415516;16/01/2016;0.5
Bois de Nèfles;97415516;17/01/2016;0.3
Bois de Nèfles;97415516;18/01/2016;0.4
Bois de Nèfles;97415516;19/01/2016;0.3
Bois de Nèfles;97415516;20/01/2016;0.2
Bois de Nèfles;97415516;21/01/2016;0.1
Bois de Nèfles;97415516;22/01/2016;0.2
Bois de Nèfles;97415516;23/01/2016;0.2
Bois de Nèfles;97415516;24/01/2016;0.2
Bois de Nèfles;97415516;25/01/2016;0.17500000000000002
Bois de Nèfles;97415516;26/01/2016;0.15000000000000002
Bois de Nèfles;97415516;27/01/2016;0.125
Bois de Nèfles;97415516;28/01/2016;0.1
Bois de Nèfles;97415516;29/01/2016;0.1
Bois de Nèfles;97415516;30/01/2016;0.2
Bois de Nèfles;97415516;31/01/2016;0.4
Bois de Nèfles;97415516;01/02/2016;0.4
Bois de Nèfles;97415516;02/02/2016;0.2
Bois de Nèfles;97415516;03/02/2016;0.2
Bois de Nèfles;97415516;04/02/2016;0.2
Bois de Nèfles;97415516;05/02/2016;0.16666666666666669
Bois de Nèfles;97415516;06/02/2016;0.13333333333333336
Bois de Nèfles;97415516;07/02/2016;0.1
Bois de Nèfles;97415516;08/02/2016;0.3
Bois de Nèfles;97415516;09/02/2016;0.4
Bois de Nèfles;97415516;10/02/2016;0.2
Bois de Nèfles;97415516;11/02/2016;0.4
Bois de Nèfles;97415516;12/02/2016;0.3
Bois de Nèfles;97415516;13/02/2016;0.3
Bois de Nèfles;97415516;14/02/2016;0.2
Bois de Nèfles;97415516;15/02/2016;0.23333333333333334
Bois de Nèfles;97415516;16/02/2016;0.26666666666666666
Bois de Nèfles;97415516;17/02/2016;0.3
Bois de Nèfles;97415516;18/02/2016;0.3
Bois de Nèfles;97415516;19/02/2016;0.3
Bois de Nèfles;97415516;20/02/2016;0.1
Bois de Nèfles;97415516;21/02/2016;0.2
Bois de Nèfles;97415516;22/02/2016;0.1
Bois de Nèfles;97415516;23/02/2016;0.3
Bois de Nèfles;97415516;24/02/2016;0.2
Bois de Nèfles;97415516;25/02/2016;0.3
Bois de Nèfles;97415516;26/02/2016;0.5
Bois de Nèfles;97415516;27/02/2016;0.4
Bois de Nèfles;97415516;28/02/2016;0.5
Bois de Nèfles;97415516;29/02/2016;0.2
Bois de Nèfles;97415516;01/03/2016;0.3
Bois de Nèfles;97415516;02/03/2016;0.1
Bois de Nèfles;97415516;03/03/2016;0.1
Bois de Nèfles;97415516;04/03/2016;0.2
Bois de Nèfles;97415516;05/03/2016;0.3
Bois de Nèfles;97415516;06/03/2016;0.1
Bois de Nèfles;97415516;07/03/2016;0.2
Bois de Nèfles;97415516;08/03/2016;0.2
Bois de Nèfles;97415516;09/03/2016;0.1
Bois de Nèfles;97415516;10/03/2016;0.1
Bois de Nèfles;97415516;11/03/2016;0.3
Bois de Nèfles;97415516;12/03/2016;0.3
Bois de Nèfles;97415516;13/03/2016;0.1
Bois de Nèfles;97415516;14/03/2016;0.1
Bois de Nèfles;97415516;15/03/2016;0.2
Bois de Nèfles;97415516;16/03/2016;0.2
Bois de Nèfles;97415516;17/03/2016;0.225
Bois de Nèfles;97415516;18/03/2016;0.25
Bois de Nèfles;97415516;19/03/2016;0.275
Bois de Nèfles;97415516;20/03/2016;0.3
Bois de Nèfles;97415516;21/03/2016;0.3
Bois de Nèfles;97415516;22/03/2016;0.2
Bois de Nèfles;97415516;23/03/2016;0.4
Bois de Nèfles;97415516;24/03/2016;0.3
Bois de Nèfles;97415516;25/03/2016;0.1
Bois de Nèfles;97415516;26/03/2016;0.1
Bois de Nèfles;97415516;27/03/2016;0.2
Bois de Nèfles;97415516;28/03/2016;0.3
Bois de Nèfles;97415516;29/03/2016;0.3
Bois de Nèfles;97415516;30/03/2016;0.1
Bois de Nèfles;97415516;31/03/2016;0.2
Bois de Nèfles;97415516;01/04/2016;0.4
Bois de Nèfles;97415516;02/04/2016;0.4
Bois de Nèfles;97415516;03/04/2016;0.2
Bois de Nèfles;97415516;04/04/2016;0.3
Bois de Nèfles;97415516;05/04/2016;0.1
Bois de Nèfles;97415516;06/04/2016;0.3
Bois de Nèfles;97415516;07/04/2016;0.3
Bois de Nèfles;97415516;08/04/2016;0.3
Bois de Nèfles;97415516;09/04/2016;0.2
Bois de Nèfles;97415516;10/04/2016;0.2
Bois de Nèfles;97415516;11/04/2016;0.2
Bois de Nèfles;97415516;12/04/2016;0.2
Bois de Nèfles;97415516;13/04/2016;0.2
Bois de Nèfles;97415516;14/04/2016;0.1
Bois de Nèfles;97415516;15/04/2016;0.3
Bois de Nèfles;97415516;16/04/2016;0.1
Bois de Nèfles;97415516;17/04/2016;0.2
Bois de Nèfles;97415516;18/04/2016;0.2
Bois de Nèfles;97415516;19/04/2016;0.3
Bois de Nèfles;97415516;20/04/2016;0.3
Bois de Nèfles;97415516;21/04/2016;0.2
Bois de Nèfles;97415516;22/04/2016;0.2
Bois de Nèfles;97415516;23/04/2016;0.3
Bois de Nèfles;97415516;24/04/2016;0.5
Bois de Nèfles;97415516;25/04/2016;0.1
Bois de Nèfles;97415516;26/04/2016;0.3
Bois de Nèfles;97415516;27/04/2016;0.1
Bois de Nèfles;97415516;28/04/2016;0.1
Bois de Nèfles;97415516;29/04/2016;0.2
Bois de Nèfles;97415516;30/04/2016;0.1
Bois de Nèfles;97415516;01/05/2016;0.1
Bois de Nèfles;97415516;02/05/2016;0.2
Bois de Nèfles;97415516;03/05/2016;0.2
Bois de Nèfles;97415516;04/05/2016;0.2
Bois de Nèfles;97415516;05/05/2016;0.3
Bois de Nèfles;97415516;06/05/2016;0.3
Bois de Nèfles;97415516;07/05/2016;0.1
Bois de Nèfles;97415516;08/05/2016;0.5
Bois de Nèfles;97415516;09/05/2016;0.2
Bois de Nèfles;97415516;10/05/2016;0.3
Bois de Nèfles;97415516;11/05/2016;0.3
Bois de Nèfles;97415516;12/05/2016;0.3
Bois de Nèfles;97415516;13/05/2016;0.2
Bois de Nèfles;97415516;14/05/2016;0.3
Bois de Nèfles;97415516;15/05/2016;0.3
Bois de Nèfles;97415516;16/05/2016;0.3
Bois de Nèfles;97415516;17/05/2016;0.1
Bois de Nèfles;97415516;18/05/2016;0.4
Bois de Nèfles;97415516;19/05/2016;0.2
Bois de Nèfles;97415516;20/05/2016;0.2
Bois de Nèfles;97415516;21/05/2016;0.2
Bois de Nèfles;97415516;22/05/2016;0.3
Bois de Nèfles;97415516;23/05/2016;0.1
Bois de Nèfles;97415516;24/05/2016;0.3
Bois de Nèfles;97415516;25/05/2016;0.3
Bois de Nèfles;97415516;26/05/2016;0.3
Bois de Nèfles;97415516;27/05/2016;0.3
Bois de Nèfles;97415516;28/05/2016;0.3
Bois de Nèfles;97415516;29/05/2016;0.2
Bois de Nèfles;97415516;30/05/2016;0.3
Bois de Nèfles;97415516;31/05/2016;0.2
Bois de Nèfles;97415516;01/06/2016;0.2
Bois de Nèfles;97415516;02/06/2016;0.2
Bois de Nèfles;97415516;03/06/2016;0.3
Bois de Nèfles;97415516;04/06/2016;0.3
Bois de Nèfles;97415516;05/06/2016;0.2
Bois de Nèfles;97415516;06/06/2016;0.2
Bois de Nèfles;97415516;07/06/2016;0.2
Bois de Nèfles;97415516;08/06/2016;0.1
Bois de Nèfles;97415516;09/06/2016;0.2
Bois de Nèfles;97415516;10/06/2016;0.4
Bois de Nèfles;97415516;11/06/2016;0.4
Bois de Nèfles;97415516;12/06/2016;0.4
Bois de Nèfles;97415516;13/06/2016;0.1
Bois de Nèfles;97415516;14/06/2016;0.3
Bois de Nèfles;97415516;15/06/2016;0.4
Bois de Nèfles;97415516;16/06/2016;0.4
Bois de Nèfles;97415516;17/06/2016;0.3
Bois de Nèfles;97415516;18/06/2016;0.3
Bois de Nèfles;97415516;19/06/2016;0.3
Bois de Nèfles;97415516;20/06/2016;0.3
Bois de Nèfles;97415516;21/06/2016;0.3
Bois de Nèfles;97415516;22/06/2016;0.4
Bois de Nèfles;97415516;23/06/2016;0.3
Bois de Nèfles;97415516;24/06/2016;0.2
Bois de Nèfles;97415516;25/06/2016;0.3
Bois de Nèfles;97415516;26/06/2016;0.2
Bois de Nèfles;97415516;27/06/2016;0.4
Bois de Nèfles;97415516;28/06/2016;0.8
Bois de Nèfles;97415516;29/06/2016;0.6
Bois de Nèfles;97415516;30/06/2016;0.9
Bois de Nèfles;97415516;01/07/2016;0.5
Bois de Nèfles;97415516;02/07/2016;0.6
Bois de Nèfles;97415516;03/07/2016;0.6
Bois de Nèfles;97415516;04/07/2016;0.5
Bois de Nèfles;97415516;05/07/2016;0.6
Bois de Nèfles;97415516;06/07/2016;0.8
Bois de Nèfles;97415516;07/07/2016;0.6
Bois de Nèfles;97415516;08/07/2016;0.7
Bois de Nèfles;97415516;09/07/2016;0.7
Bois de Nèfles;97415516;10/07/2016;0.6
Bois de Nèfles;97415516;11/07/2016;0.6
Bois de Nèfles;97415516;12/07/2016;0.6
Bois de Nèfles;97415516;13/07/2016;0.8
Bois de Nèfles;97415516;14/07/2016;0.6
Bois de Nèfles;97415516;15/07/2016;0.8
Bois de Nèfles;97415516;16/07/2016;0.7
Bois de Nèfles;97415516;17/07/2016;0.5
Bois de Nèfles;97415516;18/07/2016;0.6
Bois de Nèfles;97415516;19/07/2016;0.4
Bois de Nèfles;97415516;20/07/2016;0.5
Bois de Nèfles;97415516;21/07/2016;0.5
Bois de Nèfles;97415516;22/07/2016;0.4
Bois de Nèfles;97415516;23/07/2016;0.5
Bois de Nèfles;97415516;24/07/2016;0.6
Bois de Nèfles;97415516;25/07/2016;0.6
Bois de Nèfles;97415516;26/07/2016;0.4
Bois de Nèfles;97415516;27/07/2016;0.5
Bois de Nèfles;97415516;28/07/2016;0.8
Bois de Nèfles;97415516;29/07/2016;0.4
Bois de Nèfles;97415516;30/07/2016;0.5
Bois de Nèfles;97415516;31/07/2016;0.7
Bois de Nèfles;97415516;01/08/2016;0.6
Bois de Nèfles;97415516;02/08/2016;0.8
Bois de Nèfles;97415516;03/08/2016;0.6
Bois de Nèfles;97415516;04/08/2016;0.8
Bois de Nèfles;97415516;05/08/2016;0.7
Bois de Nèfles;97415516;06/08/2016;0.2
Bois de Nèfles;97415516;07/08/2016;0.5
Bois de Nèfles;97415516;08/08/2016;0.6
Bois de Nèfles;97415516;09/08/2016;0.4
Bois de Nèfles;97415516;10/08/2016;0.6
Bois de Nèfles;97415516;11/08/2016;0.3
Bois de Nèfles;97415516;12/08/2016;0.4
Bois de Nèfles;97415516;13/08/2016;0.3
Bois de Nèfles;97415516;14/08/2016;0.6
Bois de Nèfles;97415516;15/08/2016;0.6
Bois de Nèfles;97415516;16/08/2016;0.8
Bois de Nèfles;97415516;17/08/2016;0.5
Bois de Nèfles;97415516;18/08/2016;0.6
Bois de Nèfles;97415516;19/08/2016;0.5
Bois de Nèfles;97415516;20/08/2016;0.6
Bois de Nèfles;97415516;21/08/2016;0.9
Bois de Nèfles;97415516;22/08/2016;0.7
Bois de Nèfles;97415516;23/08/2016;0.8
Bois de Nèfles;97415516;24/08/2016;0.9
Bois de Nèfles;97415516;25/08/2016;0.7
Bois de Nèfles;97415516;26/08/2016;0.7
Bois de Nèfles;97415516;27/08/2016;0.7
Bois de Nèfles;97415516;28/08/2016;0.8
Bois de Nèfles;97415516;29/08/2016;0.5
Bois de Nèfles;97415516;30/08/2016;0.7
Bois de Nèfles;97415516;31/08/2016;0.6
Bois de Nèfles;97415516;01/09/2016;0.9
Bois de Nèfles;97415516;02/09/2016;0.7
Bois de Nèfles;97415516;03/09/2016;0.6
Bois de Nèfles;97415516;04/09/2016;0.5
Bois de Nèfles;97415516;05/09/2016;0.5
Bois de Nèfles;97415516;06/09/2016;0.6
Bois de Nèfles;97415516;07/09/2016;0.5
Bois de Nèfles;97415516;08/09/2016;0.7
Bois de Nèfles;97415516;09/09/2016;0.9
Bois de Nèfles;97415516;10/09/2016;1.0
Bois de Nèfles;97415516;11/09/2016;0.6
Bois de Nèfles;97415516;12/09/2016;0.6
Bois de Nèfles;97415516;13/09/2016;1.0
Bois de Nèfles;97415516;14/09/2016;1.0125
Bois de Nèfles;97415516;15/09/2016;1.025
Bois de Nèfles;97415516;16/09/2016;1.0374999999999999
Bois de Nèfles;97415516;17/09/2016;1.0499999999999998
Bois de Nèfles;97415516;18/09/2016;1.0625
Bois de Nèfles;97415516;19/09/2016;1.075
Bois de Nèfles;97415516;20/09/2016;1.0875
Bois de Nèfles;97415516;21/09/2016;1.1
Bois de Nèfles;97415516;22/09/2016;1.0
Bois de Nèfles;97415516;23/09/2016;1.3
Bois de Nèfles;97415516;24/09/2016;1.3
Bois de Nèfles;97415516;25/09/2016;1.1
Bois de Nèfles;97415516;26/09/2016;1.3
Bois de Nèfles;97415516;27/09/2016;1.3
Bois de Nèfles;97415516;28/09/2016;1.5
Bois de Nèfles;97415516;29/09/2016;1.5
Bois de Nèfles;97415516;30/09/2016;1.5
Bois de Nèfles;97415516;01/10/2016;1.3
Bois de Nèfles;97415516;02/10/2016;1.5
Bois de Nèfles;97415516;03/10/2016;0.9
Bois de Nèfles;97415516;04/10/2016;1.2
Bois de Nèfles;97415516;05/10/2016;1.1
Bois de Nèfles;97415516;06/10/2016;1.3
Bois de Nèfles;97415516;07/10/2016;0.8
Bois de Nèfles;97415516;08/10/2016;1.2
Bois de Nèfles;97415516;09/10/2016;1.0
Bois de Nèfles;97415516;10/10/2016;1.0
Bois de Nèfles;97415516;11/10/2016;1.0
Bois de Nèfles;97415516;12/10/2016;1.5
Bois de Nèfles;97415516;13/10/2016;1.3
Bois de Nèfles;97415516;14/10/2016;1.4
Bois de Nèfles;97415516;15/10/2016;1.5
Bois de Nèfles;97415516;16/10/2016;1.4
Bois de Nèfles;97415516;17/10/2016;1.3
Bois de Nèfles;97415516;18/10/2016;1.1
Bois de Nèfles;97415516;19/10/2016;1.2
Bois de Nèfles;97415516;20/10/2016;1.1
Bois de Nèfles;97415516;21/10/2016;1.1
Bois de Nèfles;97415516;22/10/2016;1.1
Bois de Nèfles;97415516;23/10/2016;1.2
Bois de Nèfles;97415516;24/10/2016;1.1
Bois de Nèfles;97415516;25/10/2016;0.6
Bois de Nèfles;97415516;26/10/2016;0.4
Bois de Nèfles;97415516;27/10/2016;0.9
Bois de Nèfles;97415516;28/10/2016;1.1
Bois de Nèfles;97415516;29/10/2016;1.0
Bois de Nèfles;97415516;30/10/2016;1.0
Bois de Nèfles;97415516;31/10/2016;1.2
Bois de Nèfles;97415516;01/11/2016;1.0
Bois de Nèfles;97415516;02/11/2016;0.8
Bois de Nèfles;97415516;03/11/2016;0.6
Bois de Nèfles;97415516;04/11/2016;0.9
Bois de Nèfles;97415516;05/11/2016;1.2
Bois de Nèfles;97415516;06/11/2016;1.2
Bois de Nèfles;97415516;07/11/2016;1.1
Bois de Nèfles;97415516;08/11/2016;1.4
Bois de Nèfles;97415516;09/11/2016;0.8
Bois de Nèfles;97415516;10/11/2016;0.8
Bois de Nèfles;97415516;11/11/2016;0.9
Bois de Nèfles;97415516;12/11/2016;0.8
Bois de Nèfles;97415516;13/11/2016;1.1
Bois de Nèfles;97415516;14/11/2016;0.8
Bois de Nèfles;97415516;15/11/2016;1.0
Bois de Nèfles;97415516;16/11/2016;0.8
Bois de Nèfles;97415516;17/11/2016;1.3
Bois de Nèfles;97415516;18/11/2016;1.3
Bois de Nèfles;97415516;19/11/2016;1.2
Bois de Nèfles;97415516;20/11/2016;1.1
Bois de Nèfles;97415516;21/11/2016;1.3
Bois de Nèfles;97415516;22/11/2016;1.3
Bois de Nèfles;97415516;23/11/2016;1.2
Bois de Nèfles;97415516;24/11/2016;1.1
Bois de Nèfles;97415516;25/11/2016;1.0
Bois de Nèfles;97415516;26/11/2016;1.1
Bois de Nèfles;97415516;27/11/2016;0.9
Bois de Nèfles;97415516;28/11/2016;0.9
Bois de Nèfles;97415516;29/11/2016;0.8
Bois de Nèfles;97415516;30/11/2016;0.5
Bois de Nèfles;97415516;01/12/2016;0.6
Bois de Nèfles;97415516;02/12/2016;1.0
Bois de Nèfles;97415516;03/12/2016;0.8
Bois de Nèfles;97415516;04/12/2016;0.9
Bois de Nèfles;97415516;05/12/2016;1.3
Bois de Nèfles;97415516;06/12/2016;1.3
Bois de Nèfles;97415516;07/12/2016;1.3
Bois de Nèfles;97415516;08/12/2016;1.0
Bois de Nèfles;97415516;09/12/2016;0.9
Bois de Nèfles;97415516;10/12/2016;0.8
Bois de Nèfles;97415516;11/12/2016;1.1
Bois de Nèfles;97415516;12/12/2016;1.0
Bois de Nèfles;97415516;13/12/2016;1.0
Bois de Nèfles;97415516;14/12/2016;1.0
Bois de Nèfles;97415516;15/12/2016;1.2
Bois de Nèfles;97415516;16/12/2016;1.0
Bois de Nèfles;97415516;17/12/2016;0.8
Bois de Nèfles;97415516;18/12/2016;0.8
Bois de Nèfles;97415516;19/12/2016;1.2
Bois de Nèfles;97415516;20/12/2016;1.1
Bois de Nèfles;97415516;21/12/2016;1.0
Bois de Nèfles;97415516;22/12/2016;1.0
Bois de Nèfles;97415516;23/12/2016;0.9
Bois de Nèfles;97415516;24/12/2016;1.1
Bois de Nèfles;97415516;25/12/2016;1.3
Bois de Nèfles;97415516;26/12/2016;1.0
Bois de Nèfles;97415516;27/12/2016;1.3
Bois de Nèfles;97415516;28/12/2016;1.3
Bois de Nèfles;97415516;29/12/2016;1.0
Bois de Nèfles;97415516;30/12/2016;0.9
Bois de Nèfles;97415516;31/12/2016;0.9
