Nom;Poste;Date;Vitesse_ms
Piton-Bloc;97405420;01/01/2016;1.2
Piton-Bloc;97405420;02/01/2016;1.9
Piton-Bloc;97405420;03/01/2016;1.5
Piton-Bloc;97405420;04/01/2016;1.1
Piton-Bloc;97405420;05/01/2016;1.4
Piton-Bloc;97405420;06/01/2016;2.3
Piton-Bloc;97405420;07/01/2016;1.5
Piton-Bloc;97405420;08/01/2016;1.2
Piton-Bloc;97405420;09/01/2016;1.5
Piton-Bloc;97405420;10/01/2016;0.9
Piton-Bloc;97405420;11/01/2016;1.0
Piton-Bloc;97405420;12/01/2016;1.1
Piton-Bloc;97405420;13/01/2016;1.6
Piton-Bloc;97405420;14/01/2016;1.2
Piton-Bloc;97405420;15/01/2016;1.0
Piton-Bloc;97405420;16/01/2016;1.0
Piton-Bloc;97405420;17/01/2016;1.1
Piton-Bloc;97405420;18/01/2016;1.1
Piton-Bloc;97405420;19/01/2016;0.8
Piton-Bloc;97405420;20/01/2016;0.8
Piton-Bloc;97405420;21/01/2016;1.0
Piton-Bloc;97405420;22/01/2016;1.0
Piton-Bloc;97405420;23/01/2016;1.5
Piton-Bloc;97405420;24/01/2016;1.4
Piton-Bloc;97405420;25/01/2016;1.0
Piton-Bloc;97405420;26/01/2016;0.9
Piton-Bloc;97405420;27/01/2016;1.8
Piton-Bloc;97405420;28/01/2016;2.0
Piton-Bloc;97405420;29/01/2016;1.9
Piton-Bloc;97405420;30/01/2016;1.6
Piton-Bloc;97405420;31/01/2016;1.6
Piton-Bloc;97405420;01/02/2016;1.6
Piton-Bloc;97405420;02/02/2016;2.1
Piton-Bloc;97405420;03/02/2016;2.3
Piton-Bloc;97405420;04/02/2016;1.0
Piton-Bloc;97405420;05/02/2016;0.9333333333333333
Piton-Bloc;97405420;06/02/2016;0.8666666666666667
Piton-Bloc;97405420;07/02/2016;0.8
Piton-Bloc;97405420;08/02/2016;0.9
Piton-Bloc;97405420;09/02/2016;0.9
Piton-Bloc;97405420;10/02/2016;0.6
Piton-Bloc;97405420;11/02/2016;1.5
Piton-Bloc;97405420;12/02/2016;0.9
Piton-Bloc;97405420;13/02/2016;1.1
Piton-Bloc;97405420;14/02/2016;1.3
Piton-Bloc;97405420;15/02/2016;1.7
Piton-Bloc;97405420;16/02/2016;1.5
Piton-Bloc;97405420;17/02/2016;0.9
Piton-Bloc;97405420;18/02/2016;0.8
Piton-Bloc;97405420;19/02/2016;1.0
Piton-Bloc;97405420;20/02/2016;1.2
Piton-Bloc;97405420;21/02/2016;1.2
Piton-Bloc;97405420;22/02/2016;1.2
Piton-Bloc;97405420;23/02/2016;1.0
Piton-Bloc;97405420;24/02/2016;1.0
Piton-Bloc;97405420;25/02/2016;1.0
Piton-Bloc;97405420;26/02/2016;1.0
Piton-Bloc;97405420;27/02/2016;0.7
Piton-Bloc;97405420;28/02/2016;1.3
Piton-Bloc;97405420;29/02/2016;0.9
Piton-Bloc;97405420;01/03/2016;1.2
Piton-Bloc;97405420;02/03/2016;0.9
Piton-Bloc;97405420;03/03/2016;1.0
Piton-Bloc;97405420;04/03/2016;1.1
Piton-Bloc;97405420;05/03/2016;1.1
Piton-Bloc;97405420;06/03/2016;1.5
Piton-Bloc;97405420;07/03/2016;1.1
Piton-Bloc;97405420;08/03/2016;1.0
Piton-Bloc;97405420;09/03/2016;1.8
Piton-Bloc;97405420;10/03/2016;1.3
Piton-Bloc;97405420;11/03/2016;1.6
Piton-Bloc;97405420;12/03/2016;1.0
Piton-Bloc;97405420;13/03/2016;0.8
Piton-Bloc;97405420;14/03/2016;0.9
Piton-Bloc;97405420;15/03/2016;0.9
Piton-Bloc;97405420;16/03/2016;0.9
Piton-Bloc;97405420;17/03/2016;0.9
Piton-Bloc;97405420;18/03/2016;0.7
Piton-Bloc;97405420;19/03/2016;1.1
Piton-Bloc;97405420;20/03/2016;1.1
Piton-Bloc;97405420;21/03/2016;1.3
Piton-Bloc;97405420;22/03/2016;1.0
Piton-Bloc;97405420;23/03/2016;1.2
Piton-Bloc;97405420;24/03/2016;0.9
Piton-Bloc;97405420;25/03/2016;1.2
Piton-Bloc;97405420;26/03/2016;1.0
Piton-Bloc;97405420;27/03/2016;1.5
Piton-Bloc;97405420;28/03/2016;2.5
Piton-Bloc;97405420;29/03/2016;1.5
Piton-Bloc;97405420;30/03/2016;1.8
Piton-Bloc;97405420;31/03/2016;1.8
Piton-Bloc;97405420;01/04/2016;1.6
Piton-Bloc;97405420;02/04/2016;1.8
Piton-Bloc;97405420;03/04/2016;1.1
Piton-Bloc;97405420;04/04/2016;1.3
Piton-Bloc;97405420;05/04/2016;1.5
Piton-Bloc;97405420;06/04/2016;1.2
Piton-Bloc;97405420;07/04/2016;0.8
Piton-Bloc;97405420;08/04/2016;1.0
Piton-Bloc;97405420;09/04/2016;1.0
Piton-Bloc;97405420;10/04/2016;1.2
Piton-Bloc;97405420;11/04/2016;1.8
Piton-Bloc;97405420;12/04/2016;2.0
Piton-Bloc;97405420;13/04/2016;2.6
Piton-Bloc;97405420;14/04/2016;2.5
Piton-Bloc;97405420;15/04/2016;2.8
Piton-Bloc;97405420;16/04/2016;3.0
Piton-Bloc;97405420;17/04/2016;1.3
Piton-Bloc;97405420;18/04/2016;1.0
Piton-Bloc;97405420;19/04/2016;0.9
Piton-Bloc;97405420;20/04/2016;1.0
