Nom;Poste;Date;Vitesse_ms
Petite Ile;97405480;01/01/2016;0.4
Petite Ile;97405480;02/01/2016;1.1
Petite Ile;97405480;03/01/2016;0.1
Petite Ile;97405480;04/01/2016;0.5666666666666667
Petite Ile;97405480;05/01/2016;1.0333333333333332
Petite Ile;97405480;06/01/2016;1.5
Petite Ile;97405480;07/01/2016;1.8
Petite Ile;97405480;08/01/2016;1.6
Petite Ile;97405480;09/01/2016;1.8
Petite Ile;97405480;10/01/2016;1.0
Petite Ile;97405480;11/01/2016;1.0
Petite Ile;97405480;12/01/2016;1.9
Petite Ile;97405480;13/01/2016;1.7
Petite Ile;97405480;14/01/2016;2.6
Petite Ile;97405480;15/01/2016;2.4
Petite Ile;97405480;16/01/2016;1.5
Petite Ile;97405480;17/01/2016;1.0
Petite Ile;97405480;18/01/2016;0.65
Petite Ile;97405480;19/01/2016;0.3
Petite Ile;97405480;20/01/2016;0.7
Petite Ile;97405480;21/01/2016;0.5
Petite Ile;97405480;22/01/2016;0.8
Petite Ile;97405480;23/01/2016;1.0
Petite Ile;97405480;24/01/2016;1.0
Petite Ile;97405480;25/01/2016;1.3
Petite Ile;97405480;26/01/2016;1.0
Petite Ile;97405480;27/01/2016;1.8
Petite Ile;97405480;28/01/2016;1.5
Petite Ile;97405480;29/01/2016;1.5
Petite Ile;97405480;30/01/2016;1.0
Petite Ile;97405480;31/01/2016;1.2
Petite Ile;97405480;01/02/2016;1.3
Petite Ile;97405480;02/02/2016;1.5
Petite Ile;97405480;03/02/2016;2.1
Petite Ile;97405480;04/02/2016;1.6
Petite Ile;97405480;05/02/2016;0.6
Petite Ile;97405480;06/02/2016;1.3
Petite Ile;97405480;07/02/2016;0.6
Petite Ile;97405480;08/02/2016;2.0
Petite Ile;97405480;09/02/2016;0.8
Petite Ile;97405480;10/02/2016;0.3
Petite Ile;97405480;11/02/2016;0.5
Petite Ile;97405480;12/02/2016;0.3
Petite Ile;97405480;13/02/2016;0.2
Petite Ile;97405480;14/02/2016;0.7
Petite Ile;97405480;15/02/2016;1.5
Petite Ile;97405480;16/02/2016;1.3
Petite Ile;97405480;17/02/2016;0.9
Petite Ile;97405480;18/02/2016;0.8
Petite Ile;97405480;19/02/2016;1.3
Petite Ile;97405480;20/02/2016;0.5
Petite Ile;97405480;21/02/2016;0.4
Petite Ile;97405480;22/02/2016;0.6
Petite Ile;97405480;23/02/2016;0.5
Petite Ile;97405480;24/02/2016;1.0
Petite Ile;97405480;25/02/2016;0.7
Petite Ile;97405480;26/02/2016;0.5
Petite Ile;97405480;27/02/2016;0.5
Petite Ile;97405480;28/02/2016;0.5
Petite Ile;97405480;29/02/2016;0.5
Petite Ile;97405480;01/03/2016;1.2
Petite Ile;97405480;02/03/2016;0.8
Petite Ile;97405480;03/03/2016;0.2
Petite Ile;97405480;04/03/2016;1.3
Petite Ile;97405480;05/03/2016;0.2
Petite Ile;97405480;06/03/2016;1.0
Petite Ile;97405480;07/03/2016;0.5
Petite Ile;97405480;08/03/2016;1.1
Petite Ile;97405480;09/03/2016;1.4
Petite Ile;97405480;10/03/2016;0.9
Petite Ile;97405480;11/03/2016;1.0
Petite Ile;97405480;12/03/2016;1.6
Petite Ile;97405480;13/03/2016;1.5
Petite Ile;97405480;14/03/2016;0.9
Petite Ile;97405480;15/03/2016;0.2
Petite Ile;97405480;16/03/2016;0.1
Petite Ile;97405480;17/03/2016;0.2
Petite Ile;97405480;18/03/2016;0.2
Petite Ile;97405480;19/03/2016;0.2
Petite Ile;97405480;20/03/2016;0.6
Petite Ile;97405480;21/03/2016;0.7
Petite Ile;97405480;22/03/2016;1.0
Petite Ile;97405480;23/03/2016;0.6
Petite Ile;97405480;24/03/2016;0.5
Petite Ile;97405480;25/03/2016;0.8
Petite Ile;97405480;26/03/2016;0.5
Petite Ile;97405480;27/03/2016;0.7
Petite Ile;97405480;28/03/2016;1.5
Petite Ile;97405480;29/03/2016;1.0
Petite Ile;97405480;30/03/2016;1.3
Petite Ile;97405480;31/03/2016;1.4
Petite Ile;97405480;01/04/2016;1.6
Petite Ile;97405480;02/04/2016;1.7
Petite Ile;97405480;03/04/2016;0.9
Petite Ile;97405480;04/04/2016;1.2
Petite Ile;97405480;05/04/2016;1.0
Petite Ile;97405480;06/04/2016;1.1
Petite Ile;97405480;07/04/2016;0.5
Petite Ile;97405480;08/04/2016;0.3
Petite Ile;97405480;09/04/2016;0.8
Petite Ile;97405480;10/04/2016;1.0
Petite Ile;97405480;11/04/2016;0.8
Petite Ile;97405480;12/04/2016;1.4
Petite Ile;97405480;13/04/2016;2.1
Petite Ile;97405480;14/04/2016;2.1
Petite Ile;97405480;15/04/2016;1.9
Petite Ile;97405480;16/04/2016;2.3
Petite Ile;97405480;17/04/2016;1.8
Petite Ile;97405480;18/04/2016;1.2
Petite Ile;97405480;19/04/2016;0.8
Petite Ile;97405480;20/04/2016;0.5
Petite Ile;97405480;21/04/2016;0.9
Petite Ile;97405480;22/04/2016;1.3
Petite Ile;97405480;23/04/2016;1.5
Petite Ile;97405480;24/04/2016;1.0
Petite Ile;97405480;25/04/2016;0.2
Petite Ile;97405480;26/04/2016;0.4
Petite Ile;97405480;27/04/2016;0.3
Petite Ile;97405480;28/04/2016;0.5
Petite Ile;97405480;29/04/2016;0.8
Petite Ile;97405480;30/04/2016;0.8
Petite Ile;97405480;01/05/2016;0.8
Petite Ile;97405480;02/05/2016;0.8
Petite Ile;97405480;03/05/2016;0.7
Petite Ile;97405480;04/05/2016;0.5
Petite Ile;97405480;05/05/2016;0.3
Petite Ile;97405480;06/05/2016;0.4
Petite Ile;97405480;07/05/2016;0.9
Petite Ile;97405480;08/05/2016;0.6
Petite Ile;97405480;09/05/2016;1.4
Petite Ile;97405480;10/05/2016;1.9
Petite Ile;97405480;11/05/2016;1.5
Petite Ile;97405480;12/05/2016;1.5
Petite Ile;97405480;13/05/2016;1.6
Petite Ile;97405480;14/05/2016;2.2
Petite Ile;97405480;15/05/2016;1.85
Petite Ile;97405480;16/05/2016;1.5
Petite Ile;97405480;17/05/2016;0.9
Petite Ile;97405480;18/05/2016;0.8
Petite Ile;97405480;19/05/2016;1.3
Petite Ile;97405480;20/05/2016;1.6
Petite Ile;97405480;21/05/2016;1.1
Petite Ile;97405480;22/05/2016;0.8
Petite Ile;97405480;23/05/2016;1.2
Petite Ile;97405480;24/05/2016;1.5
Petite Ile;97405480;25/05/2016;1.6
Petite Ile;97405480;26/05/2016;1.5
Petite Ile;97405480;27/05/2016;1.9
Petite Ile;97405480;28/05/2016;1.0
Petite Ile;97405480;29/05/2016;1.7
Petite Ile;97405480;30/05/2016;1.8
Petite Ile;97405480;31/05/2016;1.8
Petite Ile;97405480;01/06/2016;1.8
Petite Ile;97405480;02/06/2016;2.8
Petite Ile;97405480;03/06/2016;2.2
Petite Ile;97405480;04/06/2016;1.0
Petite Ile;97405480;05/06/2016;0.6
Petite Ile;97405480;06/06/2016;0.7
Petite Ile;97405480;07/06/2016;0.8
Petite Ile;97405480;08/06/2016;0.9
Petite Ile;97405480;09/06/2016;1.4
Petite Ile;97405480;10/06/2016;1.8
Petite Ile;97405480;11/06/2016;0.9
Petite Ile;97405480;12/06/2016;0.6
Petite Ile;97405480;13/06/2016;0.8
Petite Ile;97405480;14/06/2016;1.3
Petite Ile;97405480;15/06/2016;1.9
Petite Ile;97405480;16/06/2016;1.7
Petite Ile;97405480;17/06/2016;1.6
Petite Ile;97405480;18/06/2016;1.7
Petite Ile;97405480;19/06/2016;1.6
Petite Ile;97405480;20/06/2016;1.8
Petite Ile;97405480;21/06/2016;1.5
Petite Ile;97405480;22/06/2016;0.8
Petite Ile;97405480;23/06/2016;1.1
Petite Ile;97405480;24/06/2016;1.5
Petite Ile;97405480;25/06/2016;1.5
Petite Ile;97405480;26/06/2016;1.8
